model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gpt-4.1-mini,openai,0.985,coord_first,0,15806,241,16384,0.2,0.25,16344,1024,0.008176,18215.629499998613,0,0,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.975,reason_first,0,15645,402,16384,0.7,0.875,16348,1024,0.0081776,14372.988499999337,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.97,coord_first,0,15565,482,16384,0.7,0.875,16345,1024,0.0081764,15383.60824999836,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.9,coord_first,0,14442,1605,16384,0.8,1.0,16359,1024,0.008182,14688.187416999426,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,reason_first,0,15565,482,16384,0.7,0.875,16346,1024,0.008176800000000001,13858.884541998123,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.9,reason_first,0,14442,1605,16384,0.8,1.0,16359,1024,0.008182,17112.76899999939,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,reason_first,1,15565,482,16384,0.7,0.875,16346,1024,0.008176800000000001,12178.09437500182,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.985,reason_first,0,15806,241,16384,0.5,0.5,16344,1024,0.008176,13930.130791999545,0,1,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.97,coord_first,1,15565,482,16384,0.7,0.875,16345,1024,0.0081764,13082.762209000066,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.5,reason_first,0,8023,8024,16384,0.7,0.875,16420,1024,0.008206399999999999,14308.483125001658,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.98,reason_first,0,15726,321,16384,0.6,0.625,16346,1024,0.008176800000000001,15332.704125001328,0,1,1,1,1,1,0,0,0,1
gpt-4.1-mini,openai,0.0,reason_first,0,0,16047,16384,0.8,1.0,16503,1024,0.0082396,14347.060709002108,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,1,0,16047,16384,0.8,1.0,16503,1024,0.0082396,14271.928250000201,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,2,0,16047,16384,0.8,1.0,16503,1024,0.0082396,14237.534042000334,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,1,8023,8024,16384,0.7,0.875,16420,1024,0.008206399999999999,16451.588166000874,0,0,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.9,coord_first,1,14442,1605,16384,0.8,1.0,16359,1024,0.008182,20470.11179099718,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.985,reason_first,1,15806,241,16384,0.4,0.5,16344,1024,0.008176,13770.20608300154,0,0,1,1,0,0,0,1,0,1
gpt-4.1-mini,openai,0.5,reason_first,2,8023,8024,16384,0.8,1.0,16420,1024,0.008206399999999999,15049.099709001894,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.97,reason_first,2,15565,482,16384,0.8,0.875,16346,1024,0.008176800000000001,14108.65391599873,0,1,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.98,coord_first,0,15726,321,16384,0.7,0.75,16346,1024,0.008176800000000001,14131.16212499881,0,1,1,1,1,1,0,1,0,1
gpt-4.1-mini,openai,0.9,coord_first,2,14442,1605,16384,0.8,1.0,16359,1024,0.008182,15740.79625000013,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.99,reason_first,0,15886,161,16384,0.5,0.5,16343,1024,0.0081756,12699.035583002114,0,1,1,0,0,0,1,1,0,1
gpt-4.1-mini,openai,0.99,coord_first,0,15886,161,16384,0.3,0.25,16343,992,0.0081244,16901.292375001503,0,1,1,0,0,0,0,0,0,1
gpt-4.1-mini,openai,0.975,coord_first,0,15645,402,16384,0.7,0.875,16347,1024,0.0081772,14223.559083999135,0,0,1,1,1,1,1,1,0,1
gpt-4.1-mini,openai,0.975,reason_first,1,15645,402,16384,0.7,0.75,16348,1024,0.0081776,15726.87274999771,0,1,1,1,1,1,1,0,0,1
gpt-4.1-mini,openai,0.0,coord_first,0,0,16047,16384,0.8,1.0,16503,1024,0.0082396,21518.78824999949,0,0,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,coord_first,1,0,16047,16384,0.8,1.0,16503,1024,0.0082396,15529.504083002394,0,0,1,1,1,1,1,1,1,1
