model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,crdt_throughput,mls_rfc,three_encryption_options,recommends_option_b,pg_limit,redis_pubsub_rate,redis_streams_latency,prosemirror_richtext,backend_rampup,infra_migration_weeks
gemini-2.0-flash,google,0.9,reason_first,0,7069,786,8192,0.7,0.875,8736,886,0.001228,10654.690958999936,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,reason_first,0,1963,5892,8192,0.7,0.875,8905,729,0.0011821,6140.620916999978,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,coord_first,0,1963,5892,8192,0.8,1.0,8905,687,0.0011653,6089.955500000087,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,0,0,7855,8192,0.8,1.0,8971,705,0.0011791,6205.413166999961,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,1,0,7855,8192,0.9,1.0,8971,710,0.0011810999999999998,5737.862000000177,1,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,0,0,7855,8192,0.8,1.0,8971,907,0.0012599,7366.841124999837,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,2,0,7855,8192,0.8,1.0,8971,876,0.0012475,7212.046582999847,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,3,0,7855,8192,0.9,1.0,8971,998,0.0012963000000000002,8325.116999999864,0,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,reason_first,0,3927,3928,8192,0.7,0.875,8832,770,0.0011912000000000001,6667.873915999962,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,coord_first,1,1963,5892,8192,0.8,1.0,8905,653,0.0011517,5207.914625000058,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,coord_first,0,5891,1964,8192,0.8,1.0,8773,746,0.0011757,6799.61933300001,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,coord_first,0,3927,3928,8192,0.8,1.0,8833,691,0.0011597,5782.838999999967,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,coord_first,1,3927,3928,8192,0.7,0.875,8833,713,0.0011685,5927.478083000096,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,coord_first,0,7069,786,8192,0.7,0.875,8736,864,0.0012192000000000001,7101.261832999853,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,coord_first,1,7069,786,8192,0.8,1.0,8736,838,0.0012088000000000001,6373.556833000066,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,coord_first,1,0,7855,8192,0.8,1.0,8971,1017,0.0013039000000000002,7952.290374999848,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,4,0,7855,8192,0.8,1.0,8971,871,0.0012455,6788.476791999983,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,coord_first,1,5891,1964,8192,0.8,1.0,8773,705,0.0011593000000000003,5955.410292000124,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,1,1963,5892,8192,0.7,0.875,8905,839,0.0012261,6752.1078750000925,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,reason_first,1,7069,786,8192,0.7,0.875,8736,771,0.001182,6042.378332999988,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,coord_first,2,3927,3928,8192,0.7,0.875,8833,689,0.0011589,5884.736582999949,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.25,reason_first,2,1963,5892,8192,0.7,0.875,8905,964,0.0012760999999999998,7819.771291000052,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,reason_first,2,7069,786,8192,0.8,1.0,8736,847,0.0012124000000000002,7249.29474999999,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.0,reason_first,5,0,7855,8192,0.8,1.0,8971,761,0.0012015,6260.585042000002,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,reason_first,3,7069,786,8192,0.8,1.0,8736,994,0.0012712,8047.401374999936,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,reason_first,4,7069,786,8192,0.7,0.875,8736,785,0.0011875999999999998,6365.896084000042,0,0,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,reason_first,6,0,7855,8192,0.8,1.0,8971,851,0.0012375,6895.221166999818,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.9,coord_first,2,7069,786,8192,0.8,1.0,8736,783,0.0011868000000000002,6132.486749999998,0,0,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.25,reason_first,3,1963,5892,8192,0.8,1.0,8905,974,0.0012801,7257.982166999909,0,0,1,1,1,1,1,1,1,1
