benchmark,model,provider,item_id,category,proportion,order,trial_index,coordination_tokens,reasoning_tokens,task_tokens_full,task_tokens_used,task_truncated,prediction,answer,correct,score_hits,score_total,score_fraction,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,0,0,4096,767,767,False,"[""39"", ""109400"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1553
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,1,0,4096,767,767,False,"[""3"", ""114000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""38"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1802
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,2,0,4096,767,767,False,"[""3"", ""110000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1472
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,3,0,4096,767,767,False,"[""39"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1468
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,4,0,4096,767,767,False,"[""39"", ""109000"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1862
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,5,0,4096,767,767,False,"[""39"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""8.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1143
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,6,0,4096,767,767,False,"[""39"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1289
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,7,0,4096,767,767,False,"[""39"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,2090
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,8,0,4096,767,767,False,"[""3"", ""111000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1228
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,coord_first,9,0,4096,767,767,False,"[""3"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""38"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1400
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,0,0,4096,767,767,False,"[""43"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1669
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,1,0,4096,767,767,False,"[""3"", ""111000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1527
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,2,0,4096,767,767,False,"[""3"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1379
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,3,0,4096,767,767,False,"[""39"", ""114800"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""8.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1734
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,4,0,4096,767,767,False,"[""43"", ""109800"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1364
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,5,0,4096,767,767,False,"[""3"", ""110000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1344
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,6,0,4096,767,767,False,"[""39"", ""109800"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1480
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,7,0,4096,767,767,False,"[""39"", ""110400"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""8.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,2216
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,8,0,4096,767,767,False,"[""39"", ""109000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1566
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.0,reason_first,9,0,4096,767,767,False,"[""3"", ""111000"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""8.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,776,72,0.00042560000000000005,1841
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,0,1024,3072,767,767,False,"[""39"", ""109800"", ""13"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,1635
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,1,1024,3072,767,767,False,"[""39"", ""109800"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.25""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,1591
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,2,1024,3072,767,767,False,"[""39"", ""109800"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""8.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,2270
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,3,1024,3072,767,767,False,"[""39"", ""109400"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,1959
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,4,1024,3072,767,767,False,"[""39"", ""109000"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,1539
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,5,1024,3072,767,767,False,"[""39"", ""109800"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""8.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,2625
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,6,1024,3072,767,767,False,"[""39"", ""109000"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.5""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,2044
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,7,1024,3072,767,767,False,"[""41"", ""109800"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,2332
gsm8k_pack,gpt-4.1-mini,openai,gsm8k-pack-20260429-0,gsm8k_pack,0.25,coord_first,8,1024,3072,767,767,False,"[""41"", ""109800"", ""15"", ""120"", ""750"", ""18"", ""20"", ""800"", ""42"", ""9.75""]","[""31"", ""114,200"", ""18"", ""120"", ""750"", ""15"", ""33"", ""800"", ""34"", ""9""]",False,3,10,0.3,1798,72,0.0008344000000000001,1384
