model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gemini-2.0-flash,google,0.0,reason_first,0,0,3616,4096,0.9,0.9,4397,1024,0.0008493000000000001,7076.684625004418,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,coord_first,0,2712,904,4096,1.0,1.0,4391,853,0.0007803,4734.7937500017,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,reason_first,0,2712,904,4096,0.9,0.9,4391,1024,0.0008487000000000001,6416.663292009616,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,reason_first,1,0,3616,4096,0.9,0.9,4397,1024,0.0008493000000000001,6089.491207996616,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.9,coord_first,0,3254,362,4096,1.0,1.0,4391,1020,0.0008471,6103.323834002367,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,reason_first,0,1808,1808,4096,1.0,1.0,4392,1024,0.0008488,5554.4645830086665,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.75,reason_first,1,2712,904,4096,0.9,0.9,4391,1024,0.0008487000000000001,6099.27275001246,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.0,coord_first,0,0,3616,4096,0.9,0.9,4397,1024,0.0008493000000000001,5632.646875004866,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.75,coord_first,1,2712,904,4096,1.0,1.0,4391,901,0.0007995,5576.706292005838,1,1,1,1,1,1,1,1,1,1
gemini-2.0-flash,google,0.5,reason_first,1,1808,1808,4096,0.9,0.9,4392,1024,0.0008488,6129.91666700691,1,1,1,1,1,1,1,1,1,0
gemini-2.0-flash,google,0.5,reason_first,2,1808,1808,4096,0.9,0.9,4392,1024,0.0008488,5949.064707994694,1,1,1,1,1,1,1,1,1,0
