model,provider,proportion,order,trial_index,coordination_tokens,reasoning_tokens,total_context_tokens,mean_score_raw,mean_score_effective,input_tokens_used,output_tokens_used,cost_usd,elapsed_ms,sum_correct,above_count,below_count,equal_count,above_indices,equal_indices,mean_correct,max_above_correct,below_has_zero,no_negatives
gpt-4.1-mini,openai,0.25,reason_first,0,904,2712,4096,0.9,0.9,4026,921,0.003084,17669.367667003826,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.5,reason_first,0,1808,1808,4096,1.0,1.0,4048,884,0.0030336000000000004,17640.10587499797,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.9,reason_first,0,3254,362,4096,1.0,1.0,4090,765,0.00286,12120.399749997887,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,0,904,2712,4096,0.9,0.9,4026,690,0.0027144,11536.993499998061,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.25,reason_first,1,904,2712,4096,0.9,0.9,4026,803,0.0028952,14810.998125001788,1,1,1,1,1,1,1,1,1,0
gpt-4.1-mini,openai,0.0,coord_first,0,0,3616,4096,1.0,1.0,3999,831,0.0029292000000000003,16661.14258300513,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,1,1808,1808,4096,1.0,1.0,4048,975,0.0031791999999999996,24157.28500000114,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,2,1808,1808,4096,1.0,1.0,4048,892,0.0030464,19356.511625002895,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,0,0,3616,4096,1.0,1.0,3999,802,0.0028828,26735.320125000726,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,0,1808,1808,4096,1.0,1.0,4047,684,0.0027132000000000002,16479.084332997445,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,reason_first,2,904,2712,4096,1.0,1.0,4026,860,0.0029864,15750.877832993865,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,0,2712,904,4096,1.0,1.0,4075,759,0.0028444,13724.993415999052,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,1,2712,904,4096,1.0,1.0,4075,841,0.0029756000000000006,11786.42787499848,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,reason_first,3,1808,1808,4096,1.0,1.0,4048,729,0.0027856000000000005,16161.108542000875,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,1,904,2712,4096,1.0,1.0,4026,820,0.0029224,14725.634000002174,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.0,reason_first,1,0,3616,4096,1.0,1.0,3999,825,0.0029196000000000005,13830.930208001519,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.25,coord_first,2,904,2712,4096,1.0,1.0,4026,663,0.0026712,17385.21225000295,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.75,reason_first,2,2712,904,4096,1.0,1.0,4075,687,0.0027291999999999998,11172.628917003749,1,1,1,1,1,1,1,1,1,1
gpt-4.1-mini,openai,0.5,coord_first,1,1808,1808,4096,1.0,1.0,4047,784,0.0028732000000000002,16147.314209003525,1,1,1,1,1,1,1,1,1,1
